License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Number,Agency Zone Office Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,ZIP,License Certificate Number,License Received Date
3162251,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ERIE,ROCKY'S BIG CITY GAMES & SPORTS BAR INC,,4545 TRANSIT RD,STE 220 T/O CLARENCE,WILLIAMSVILLE,NY,14221,,01/28/2019
3162254,ON-PREMISES LIQUOR,252,OP,3,Buffalo,WYOMING,VARYSBURG BAR & GRILL SWEET THINGS BAKERY INC,VARYSBURG HOTEL,2486 MAIN ST,,VARYSBURG,NY,14167,,01/28/2019
3162257,ON-PREMISES LIQUOR,252,OP,3,Buffalo,CHEMUNG,FRANTELLO INC,LOUIES HANOVER SQUARE,102 S MAIN ST,,HORSEHEADS,NY,14845,,01/30/2019
3162261,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,STEUBEN,11 WEST LAMOKA AVE INC,SAVONA MART,11 W LAMOKA AVE,,SAVONA,NY,14879,,01/31/2019
3162264,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ERIE,CMN OF EAST AURORA INC,RICK'S ON MAIN,687 MAIN ST,,EAST AURORA,NY,14052,,01/31/2019
3162270,"GROCERY CHAIN, WINE PROD",128,AX,3,Buffalo,ERIE,7 ELEVEN INC,7 ELEVEN STORE #11270J,749 SHERIDAN AVE,,TONAWANDA,NY,14150,903919,02/01/2019
3162272,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,CATTARAUGUS,17 S MAIN ST FRANKLINVILLE LLC,FRESH MARKET,17 S MAIN ST,,FRANKLINVILLE,NY,14737,915613,02/01/2019
3162275,"DRUG CHAIN, WINE PROD ",126,DX,3,Buffalo,TOMPKINS,WALGREEN EASTERN CO INC,WALGREENS STORE #18256,79 NORTH ST,,DRYDEN,NY,13053,910852,02/01/2019
3162280,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ERIE,1051 SHERIDAN LLC,IRON TAIL TAVERN,802 ELMWOOD AVE,,BUFFALO              ,NY,14222,,02/08/2019
3162282,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,MONROE,233 EAST RIDGE ROAD LLC,FARM FRESH EXPRESS 2,233 E RIDGE RD,#243,ROCHESTER            ,NY,14621,,02/08/2019
3162284,ON-PREMISES LIQUOR,252,OP,3,Buffalo,STEUBEN,HAIL MARY ENTERPRISES LLC,LINDLEY ROADHOUSE,12 COUNTY RTE 115,,LINDLEY,NY,14858,,02/08/2019
3162287,HOTEL LIQUOR,242,HL,3,Buffalo,ERIE,PEARL GROUP LLC,"W XYZ BAR, ALOFT BUFFALO DOWNTOWN",500 PEARL ST,,BUFFALO              ,NY,14202,,02/08/2019
3162289,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ONTARIO,TWISTED RAIL BREWING COMPANY LLC,,499 EXCHANGE ST,,GENEVA,NY,14456,,02/08/2019
3162290,CATERING ESTABLISHMENT,246,CT,3,Buffalo,MONROE,STUTSON HOUSE LLC,STUTSON HOUSE,34 STUTSON ST,,ROCHESTER            ,NY,14612,,03/25/2019
3162292,"GROCERY CHAIN, BEER ONLY",128,A ,3,Buffalo,CATTARAUGUS,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #17674,3545 RTE 16,,HINSDALE,NY,14743,,02/12/2019
3162293,"GROCERY CHAIN, BEER ONLY",128,A ,3,Buffalo,ALLEGANY,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #8319,820 NY STATE RTE 244,,ALFRED STATION,NY,14803,,02/12/2019
3162294,ON-PREMISES LIQUOR,252,OP,3,Buffalo,CHAUTAUQUA,"OLD MAIN INC, THE",THE OLD MAIN INN,24 WATER ST,,FREDONIA,NY,14063,,02/12/2019
3162297,GROCERY STORE BEER,122,A,3,Buffalo,GENESEE,PEMBROKE HOSPITALITY INC,48 EXPRESS MART,8204 PARK RD,,BATAVIA,NY,14020,,02/12/2019
3162298,LIQUOR STORE,222,L,3,Buffalo,MONROE,GENESEE LIQUOR WINE & SPIRITS INC,,900 GENESEE ST,STE A,ROCHESTER            ,NY,14611,,02/12/2019
3162299,"GROCERY CHAIN, BEER ONLY",128,A,3,Buffalo,CATTARAUGUS,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #17913,10011 RTE 16,,DELEVAN,NY,14042,,02/12/2019
3162300,"GROCERY CHAIN, BEER ONLY",128,A,3,Buffalo,CHAUTAUQUA,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #18496,4884 RTE 430,,BEMUS POINT,NY,14712,,02/12/2019
3162301,"GROCERY CHAIN, BEER ONLY",128,A,3,Buffalo,ALLEGANY,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #17999,8874 STATE RTE 243,,RUSHFORD,NY,14777,,02/12/2019
3162302,"GROCERY CHAIN, BEER ONLY",128,A,3,Buffalo,CHEMUNG,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #11195,3695 FRONT ST,,WELLSBURG,NY,14894,,02/12/2019
3162303,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ERIE,BE OUR GUEST LTD,EXPLORE & MORE,130 MAIN ST,MUSEUM,BUFFALO              ,NY,14203,,02/12/2019
3162304,ON-PREMISES LIQUOR,252,OP,3,Buffalo,WAYNE,2101 COUNTRY CLUB LANE LLC,"ONTARIO COUNTRY CLUB, ONTARIO GOLF CLUB",2101 COUNTRY CLUB LN,,ONTARIO,NY,14519,895864,02/12/2019
3162308,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ERIE,RBCPROD LLC,RESURGENCE BREWING COMPANY,55 CHICAGO ST,STE 100,BUFFALO              ,NY,14204,,02/13/2019
